Emp_ID,Name,Department,Basic_Salary,Bonus,Joining_Date,DOB,BonusAmount,TotalSalary 
E001,Employee_1,HR,3409,15,9/30/2017,11/28/2001,511.35,3920.35
E002,Employee_2,Finance,4679,5,8/15/2021,5/14/2006,233.95,4912.95
E003,Employee_3,HR,3488,5,6/14/2017,2/13/2002,174.4,3662.4
E004,Employee_4,Marketing,12863,5,4/17/2021,5/12/2001,643.15,13506.15
E005,Employee_5,Marketing,9873,10,1/14/2020,2/13/2010,987.3,10860.3
E006,Employee_6,IT,3106,10,10/30/2022,5/20/2006,310.6,3416.6
E007,Employee_7,IT,7552,10,5/31/2017,1/10/2014,755.2,8307.2
E008,Employee_8,IT,4674,5,4/6/2019,1/27/1999,233.7,4907.7
E009,Employee_9,IT,8635,15,1/19/2024,11/16/1997,1295.25,9930.25
E010,Employee_10,Sales,11785,5,3/31/2019,9/2/1998,589.25,12374.25
E011,Employee_11,Marketing,7803,15,6/22/2021,3/20/2001,1170.45,8973.45
E012,Employee_12,HR,3750,10,9/2/2023,5/24/2003,375,4125
E013,Employee_13,HR,6814,5,4/6/2019,2/20/2003,340.7,7154.7
E014,Employee_14,Sales,13415,15,10/28/2016,3/16/2005,2012.25,15427.25
E015,Employee_15,IT,6432,15,11/14/2022,3/26/2012,964.8,7396.8
E016,Employee_16,HR,12980,10,12/27/2020,4/4/2013,1298,14278
E017,Employee_17,Finance,5677,20,4/4/2019,12/16/2002,1135.4,6812.4
E018,Employee_18,Marketing,6598,15,6/14/2024,2/19/2014,989.7,7587.7
E019,Employee_19,HR,6752,5,1/11/2024,12/24/2003,337.6,7089.6
E020,Employee_20,Sales,7386,5,5/14/2017,8/16/2009,369.3,7755.3
E021,Employee_21,IT,6483,20,6/9/2019,4/28/2011,1296.6,7779.6
E022,Employee_22,Sales,5340,15,7/25/2016,6/8/2002,801,6141
E023,Employee_23,Marketing,11830,15,5/18/2023,1/5/2010,1774.5,13604.5
E024,Employee_24,Sales,12560,20,1/22/2019,10/27/2001,2512,15072
E025,Employee_25,Finance,11348,20,1/8/2016,11/8/2013,2269.6,13617.6
E026,Employee_26,HR,4796,10,1/14/2022,6/28/2000,479.6,5275.6
E027,Employee_27,Sales,12771,5,4/26/2019,6/18/2005,638.55,13409.55
E028,Employee_28,Marketing,10668,15,3/16/2021,2/28/1997,1600.2,12268.2
E029,Employee_29,HR,14169,15,8/15/2023,4/12/2011,2125.35,16294.35
E030,Employee_30,IT,4827,15,11/16/2019,6/13/2000,724.05,5551.05
E031,Employee_31,Sales,3053,15,8/12/2020,12/28/2013,457.95,3510.95
E032,Employee_32,Finance,11317,5,10/5/2024,12/5/2010,565.85,11882.85
E033,Employee_33,IT,13468,10,9/18/2016,4/16/2005,1346.8,14814.8
E034,Employee_34,Finance,11837,5,9/19/2021,3/4/2004,591.85,12428.85
E035,Employee_35,Sales,3319,5,1/26/2019,7/23/2015,165.95,3484.95
E036,Employee_36,IT,6923,5,9/13/2017,8/17/2009,346.15,7269.15
E037,Employee_37,HR,4403,20,2/25/2024,6/15/1998,880.6,5283.6
E038,Employee_38,Marketing,5060,10,5/26/2022,7/25/2007,506,5566
E039,Employee_39,Marketing,5705,15,12/1/2020,7/5/2010,855.75,6560.75
E040,Employee_40,Sales,6470,10,12/30/2022,11/23/2003,647,7117
E041,Employee_41,Sales,14004,15,11/30/2019,7/5/2008,2100.6,16104.6
E042,Employee_42,Sales,4982,10,7/9/2017,5/4/1998,498.2,5480.2
E043,Employee_43,IT,3344,10,8/7/2021,11/4/2001,334.4,3678.4
E044,Employee_44,HR,4163,5,7/26/2017,6/1/1998,208.15,4371.15
E045,Employee_45,HR,8413,5,10/6/2020,3/29/2002,420.65,8833.65
E046,Employee_46,IT,13960,20,5/27/2017,12/30/2008,2792,16752
E047,Employee_47,Finance,14851,20,9/22/2017,7/2/2014,2970.2,17821.2
E048,Employee_48,Sales,9669,10,1/22/2016,1/29/1999,966.9,10635.9
E049,Employee_49,Sales,8804,20,8/11/2019,5/18/2007,1760.8,10564.8
E050,Employee_50,HR,14032,5,9/6/2015,12/7/2005,701.6,14733.6
